Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-5,0-7,0-11,0-4,0-2,0-3,0-8,0-2,0,0-22
2,6-8,8-9,12-13,5,3-5,4,9-11,3-4,1,23-27
3,9-13,10-11,14-15,6-7,6-9,5,12-14,5,2,28-33
4,14-18,12-13,16-17,8-9,10-13,6,15-17,6,3,34-39
5,19-23,14-16,18-19,10,14-17,7-8,18-20,7,4-5,40-46
6,24-28,17-18,20-21,11-12,18-21,9,21-23,8-9,6-7,47-52
7,29-34,19-20,22-23,13-14,22-25,10,24-26,10-11,8,53-58
8,35-38,21,24-25,15-16,26-29,11,27-29,12-13,9-10,59-64
9,39-43,22-23,26-27,17-18,30-32,12-13,30-32,14,11-12,65-70
10,44-48,24-26,28-29,19,33-36,14,33-35,15-16,13,71-75
11,49-52,27-28,30-31,20,37-39,15-16,36-37,17-18,14-15,76-80
12,53-55,29,32-33,21,40-43,17,38-40,19,16-17,81-86
13,56-58,30,34-35,22,44-46,18,41-43,20-21,18,87-91
14,59-60,31-32,36,23,47-49,19,44-45,22,19-20,92-95
15,61-62,33,37-38,24,50-51,20,46-47,23,21,96-100
16,63,34,39,25,52,-,48-49,24,22,101-104
17,64,35,40-41,-,53,21,50-51,25,23,105-107
18,65,-,42,26,54,-,52-53,-,24,108-110
19,66,36,43-48,-,55-57,22,54-60,26,25-26,111-135